20:15:49 [Safezone] Player "Rikinoo" (id=R5QkEcrxtly9KY8lzQxLv6FMruTgXOxuSWhCmf7J-cA= pos=<4261.600098, 9.459600, 4164.399902>) Entered the safezone
20:16:35 [Safezone] Player "Rikinoo" (id=R5QkEcrxtly9KY8lzQxLv6FMruTgXOxuSWhCmf7J-cA= pos=<1468.595215, 16.404032, 10010.080078>) Left the safezone
20:18:01 [MissionAirdrop] An airdrop is heading towards "Stein" (pos=<4619.000000, 0.000000, 7618.000000> type=Random_Stein) with a ExpansionAirdropContainer_Military
20:18:01 [MissionAirdrop] An airdrop is heading towards "Prison" (pos=<1399.579956, 0.000000, 9977.769531> type=Random_Prison) with a ExpansionAirdropContainer_Medical
20:28:01 [Safezone] Player "Rikinoo" (id=R5QkEcrxtly9KY8lzQxLv6FMruTgXOxuSWhCmf7J-cA= pos=<4298.049805, 6.384704, 4158.399902>) Entered the safezone
20:28:38 [Safezone] Player "Rikinoo" (id=R5QkEcrxtly9KY8lzQxLv6FMruTgXOxuSWhCmf7J-cA= pos=<9861.201172, 4.114192, 4407.916992>) Left the safezone
20:32:06 [Safezone] Player "Rikinoo" (id=R5QkEcrxtly9KY8lzQxLv6FMruTgXOxuSWhCmf7J-cA= pos=<4278.509766, 7.975119, 4165.649902>) Entered the safezone
20:33:27 [Safezone] Player "Rikinoo" (id=R5QkEcrxtly9KY8lzQxLv6FMruTgXOxuSWhCmf7J-cA= pos=<8194.920898, 10.260394, 4441.425293>) Left the safezone
20:36:59 [VehicleCarKey] Player "Belthazar" (id=RltGA7jYsRIS6j9XdLdrJPzdhNNDCxY3jxHIri3V2DM= pos=<4489.333008, 1.316560, 3110.155762>) used the  ExpansionCarKey to unlock a ExpansionVodnik
20:43:29 [Safezone] Player "Rikinoo" (id=R5QkEcrxtly9KY8lzQxLv6FMruTgXOxuSWhCmf7J-cA= pos=<4292.522949, 7.126617, 4181.491211>) Entered the safezone
20:43:34 [Safezone] Player "MaryCuddles" (id=4r9Qw97BrWWUc-JN5svykH45KprkXCwFNoDt8GYM410= pos=<4292.473145, 7.133604, 4181.533691>) Entered the safezone
20:44:30 [Safezone] Player "Rikinoo" (id=R5QkEcrxtly9KY8lzQxLv6FMruTgXOxuSWhCmf7J-cA= pos=<4429.771973, 4.008385, 3942.871826>) Left the safezone
20:44:45 [Killfeed] Rikinoo fell to their death.
20:45:53 [Safezone] Player "Rikinoo" (id=R5QkEcrxtly9KY8lzQxLv6FMruTgXOxuSWhCmf7J-cA= pos=<4365.773926, 4.310034, 4060.535645>) Entered the safezone
20:47:19 [Market] Player "MaryCuddles" (id=4r9Qw97BrWWUc-JN5svykH45KprkXCwFNoDt8GYM410=) has send a requested to sell m4_suppressor x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
20:47:19 [Market] Player "MaryCuddles" (id=4r9Qw97BrWWUc-JN5svykH45KprkXCwFNoDt8GYM410=) has sold m4_suppressor x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 200.
20:47:22 [Market] Player "MaryCuddles" (id=4r9Qw97BrWWUc-JN5svykH45KprkXCwFNoDt8GYM410=) has send a requested to sell mag_cz75_15rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
20:47:22 [Market] Player "MaryCuddles" (id=4r9Qw97BrWWUc-JN5svykH45KprkXCwFNoDt8GYM410=) has sold mag_cz75_15rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 47.
