00:02:30 [AI Object Patrol] Generating an example config...
00:03:52 [Expansion Quests] - SetupClientData - Loaded existing player quest data for player with UID: S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=
00:03:52 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=
00:03:52 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 9 - Creator UID: S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=
00:03:52 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 21 - Creator UID: S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=
00:03:52 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 61 - Creator UID: S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=
00:04:06 [VehicleCarKey] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A= pos=<6645.354492, -0.391745, 2705.209961>) used the  ExpansionCarKey to unlock a ExpansionUtilityBoat
00:08:05 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has send a requested to sell twp_m4a1 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
00:08:05 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has sold twp_m4a1 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 1500.
00:08:07 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has send a requested to sell twp_scarl x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
00:08:07 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has sold twp_scarl x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2000.
00:08:15 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has send a requested to sell ammobox_762x39_20rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
00:08:15 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has sold ammobox_762x39_20rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 180.
00:08:16 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has send a requested to sell ammobox_762x39tracer_20rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
00:08:16 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has sold ammobox_762x39tracer_20rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 180.
00:08:19 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has send a requested to sell twp_ammobox_57x28_30rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
00:08:19 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has sold twp_ammobox_57x28_30rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 141.
