16:57:30 [Market] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=) has sold platecarrierholster x1 at the trader "Clothing (Linda [CLOTHING TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 60.
17:00:15 [Safezone] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ= pos=<4189.344238, 14.662817, 4129.236816>) Entered the safezone
17:00:52 [Market] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=) has send a requested to sell platecarrierholster x1 at the trader "Clothing (Linda [CLOTHING TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
17:00:52 [Market] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=) has sold platecarrierholster x1 at the trader "Clothing (Linda [CLOTHING TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 60.
17:04:13 [Safezone] Player "P@lko2265" (id=iyN6JbNqEvHMp_A5zeXvCmCy1_EaihIFwZocZ4y6-LM= pos=<4227.723633, 10.589007, 4160.725098>) Entered the safezone
17:06:17 [VehicleCarKey] Player "P@lko2265" (id=iyN6JbNqEvHMp_A5zeXvCmCy1_EaihIFwZocZ4y6-LM= pos=<4424.107422, 1.355822, 4193.001465>) used the  ExpansionCarKey to unlock a ExpansionUtilityBoat
17:06:23 [Safezone] Player "P@lko2265" (id=iyN6JbNqEvHMp_A5zeXvCmCy1_EaihIFwZocZ4y6-LM= pos=<4424.107422, 1.355822, 4193.001465>) Left the safezone
17:06:46 [VehicleCarKey] Player "P@lko2265" (id=iyN6JbNqEvHMp_A5zeXvCmCy1_EaihIFwZocZ4y6-LM= pos=<4424.107422, 1.355822, 4193.001465>) used the  ExpansionCarKey to lock a ExpansionUtilityBoat
17:06:51 [Safezone] Player "P@lko2265" (id=iyN6JbNqEvHMp_A5zeXvCmCy1_EaihIFwZocZ4y6-LM= pos=<4418.543457, 1.415207, 4189.770996>) Entered the safezone
17:06:52 [Market] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=) has send a requested to sell sks_bayonet x1 at the trader "Attachments (Oliver [ATTACHMENTS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
17:06:53 [Market] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=) has sold sks_bayonet x1 at the trader "Attachments (Oliver [ATTACHMENTS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 100.
17:06:53 [Market] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=) has send a requested to sell mosin_bayonet x1 at the trader "Attachments (Oliver [ATTACHMENTS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
17:06:54 [Market] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=) has sold mosin_bayonet x1 at the trader "Attachments (Oliver [ATTACHMENTS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 100.
17:06:54 [Market] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=) has send a requested to sell ak_bayonet x1 at the trader "Attachments (Oliver [ATTACHMENTS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
17:06:54 [Market] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=) has sold ak_bayonet x1 at the trader "Attachments (Oliver [ATTACHMENTS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 100.
17:07:18 [Chat - Global]("P@lko2265"(id=iyN6JbNqEvHMp_A5zeXvCmCy1_EaihIFwZocZ4y6-LM=)): zdarec
17:07:50 [Market] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=) has send a requested to sell ammo_12gapellets x28 at the trader "Attachments (Oliver [ATTACHMENTS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
17:07:50 [Market] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=) has sold ammo_12gapellets x28 at the trader "Attachments (Oliver [ATTACHMENTS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 126.
17:08:02 [Market] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=) has send a requested to sell ammo_762x39 x151 at the trader "Attachments (Oliver [ATTACHMENTS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
17:08:02 [Market] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=) has sold ammo_762x39 x151 at the trader "Attachments (Oliver [ATTACHMENTS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 1268.
17:08:12 [Market] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=) has send a requested to sell ammo_762x54tracer x100 at the trader "Attachments (Oliver [ATTACHMENTS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
17:08:12 [Market] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=) has sold ammo_762x54tracer x100 at the trader "Attachments (Oliver [ATTACHMENTS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 900.
17:08:19 [Market] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=) has send a requested to sell ammo_545x39tracer x100 at the trader "Attachments (Oliver [ATTACHMENTS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
17:08:19 [Market] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=) has sold ammo_545x39tracer x100 at the trader "Attachments (Oliver [ATTACHMENTS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 600.
17:08:27 [Market] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=) has send a requested to sell ammo_762x54 x101 at the trader "Attachments (Oliver [ATTACHMENTS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
17:08:27 [Market] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=) has sold ammo_762x54 x101 at the trader "Attachments (Oliver [ATTACHMENTS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 909.
17:09:32 [Market] Player "P@lko2265" (id=iyN6JbNqEvHMp_A5zeXvCmCy1_EaihIFwZocZ4y6-LM=) has send a requested to sell twp_marlin x1 at the trader "Weapons (Denis [WEAPONS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
17:09:32 [Market] Player "P@lko2265" (id=iyN6JbNqEvHMp_A5zeXvCmCy1_EaihIFwZocZ4y6-LM=) has sold twp_marlin x1 at the trader "Weapons (Denis [WEAPONS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 1500.
17:10:02 [Market] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=) has send a requested to sell buisoptic x1 at the trader "Attachments (Oliver [ATTACHMENTS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
17:10:02 [Market] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=) has sold buisoptic x1 at the trader "Attachments (Oliver [ATTACHMENTS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 30.
