20:24:27 [Safezone] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<4477.749023, 0.107754, 4155.489258>) Left the safezone
20:26:17 [VehicleCarKey] Player "cumtam" (id=ejSkxByu56JQJCjaqLBSPNXICtUOhtzWA8N8KOJ3ik0= pos=<4945.351563, 6.288139, 1414.278320>) used the  ExpansionCarKey to unlock a Expansion_Landrover
20:26:23 [VehicleCarKey] Player "cumtam" (id=ejSkxByu56JQJCjaqLBSPNXICtUOhtzWA8N8KOJ3ik0= pos=<4945.351563, 6.288128, 1414.278320>) used the  ExpansionCarKey to lock a Expansion_Landrover
20:26:47 [VehicleCarKey] Player "Martina_(.)(.)_" (id=KBvZ7N7QOK5224QFIh6ry8QI5xBwogyjGyBaskjwU0A= pos=<1460.664673, 497.276581, 631.635620>) used the  ExpansionCarKey to lock a Truck_01_Covered
20:29:50 [VehicleCarKey] Player "Martina_(.)(.)_" (id=KBvZ7N7QOK5224QFIh6ry8QI5xBwogyjGyBaskjwU0A= pos=<1460.693848, 497.276459, 630.062134>) used the  ExpansionCarKey to unlock a Truck_01_Covered
20:31:10 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<3515.459229, 0.774145, 5434.733887>) used the  ExpansionCarKey to lock a ExpansionUtilityBoat
20:31:59 [VehicleCarKey] Player "cumtam" (id=ejSkxByu56JQJCjaqLBSPNXICtUOhtzWA8N8KOJ3ik0= pos=<4945.811523, 6.265162, 1414.366333>) used the  ExpansionCarKey to unlock a Expansion_Landrover
20:32:07 [VehicleCarKey] Player "cumtam" (id=ejSkxByu56JQJCjaqLBSPNXICtUOhtzWA8N8KOJ3ik0= pos=<4945.811523, 6.265135, 1414.366333>) used the  ExpansionCarKey to lock a Expansion_Landrover
20:32:17 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<3517.605713, 0.823031, 5434.384766>) used the  ExpansionCarKey to unlock a ExpansionUtilityBoat
20:32:23 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<3517.605713, 0.823031, 5434.384766>) used the  ExpansionCarKey to lock a ExpansionUtilityBoat
20:33:36 [VehicleCarKey] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= pos=<9805.067383, 0.830165, 4532.077637>) used the  ExpansionCarKey to unlock a ExpansionUtilityBoat
20:34:00 [VehicleCarKey] Player "Martina_(.)(.)_" (id=KBvZ7N7QOK5224QFIh6ry8QI5xBwogyjGyBaskjwU0A= pos=<1460.926147, 497.226105, 628.874084>) used the  ExpansionCarKey to lock a Truck_01_Covered
20:34:28 [VehicleCarKey] Player "Martina_(.)(.)_" (id=KBvZ7N7QOK5224QFIh6ry8QI5xBwogyjGyBaskjwU0A= pos=<1460.689087, 497.280426, 629.229126>) used the  ExpansionCarKey to unlock a Truck_01_Covered
20:37:37 [VehicleCarKey] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= pos=<9747.621094, 0.833762, 5479.892578>) used the  ExpansionCarKey to lock a ExpansionUtilityBoat
20:37:50 [VehicleCarKey] Player "cumtam" (id=ejSkxByu56JQJCjaqLBSPNXICtUOhtzWA8N8KOJ3ik0= pos=<4944.763672, 6.280633, 1414.527710>) used the  ExpansionCarKey to unlock a Expansion_Landrover
20:37:52 [Safezone] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ= pos=<4255.366699, 9.539851, 4117.836426>) Entered the safezone
20:38:33 [Safezone] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= pos=<9914.275391, 8.514417, 5398.526367>) Entered the safezone
20:38:52 [Market] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=) has send a requested to sell carbattery x1 at the trader "Vehicles (Peter [VEHICLES TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
20:38:52 [Market] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=) has sold carbattery x1 at the trader "Vehicles (Peter [VEHICLES TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 300.
20:39:11 [Market] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=) has send a requested to sell burlapsack x1 at the trader "BuildingSupplies (Boris [BUILDING SUPPLIES TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
20:39:11 [Market] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=) has sold burlapsack x1 at the trader "BuildingSupplies (Boris [BUILDING SUPPLIES TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 10.
20:39:11 [Market] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=) has send a requested to sell burlapsack x1 at the trader "BuildingSupplies (Boris [BUILDING SUPPLIES TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
