12:30:40 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<3419.892090, 7.211957, 5306.310059>) used the  ExpansionCarKey to unlock a Expansion_Landrover_Orange
13:49:56 [Market] Player "Kody" (id=vHFZU74BZI_ayyjapF-71XC4icK9QMS69f8Uu0qGWrk=) has send a requested to sell twp_walthermpk x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
13:49:56 [Market] Player "Kody" (id=vHFZU74BZI_ayyjapF-71XC4icK9QMS69f8Uu0qGWrk=) has sold twp_walthermpk x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 800.
13:50:11 [Market] Player "Kody" (id=vHFZU74BZI_ayyjapF-71XC4icK9QMS69f8Uu0qGWrk=) has send a requested to sell twp_optic_steyr x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
13:50:11 [Market] Player "Kody" (id=vHFZU74BZI_ayyjapF-71XC4icK9QMS69f8Uu0qGWrk=) has sold twp_optic_steyr x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 225.
13:50:14 [Market] Player "Kody" (id=vHFZU74BZI_ayyjapF-71XC4icK9QMS69f8Uu0qGWrk=) has send a requested to sell twp_ar70_mag_30rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
13:50:15 [Market] Player "Kody" (id=vHFZU74BZI_ayyjapF-71XC4icK9QMS69f8Uu0qGWrk=) has sold twp_ar70_mag_30rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 180.
13:50:15 [Market] Player "Kody" (id=vHFZU74BZI_ayyjapF-71XC4icK9QMS69f8Uu0qGWrk=) has send a requested to sell twp_hkcarabine_mag_30rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
13:50:15 [Market] Player "Kody" (id=vHFZU74BZI_ayyjapF-71XC4icK9QMS69f8Uu0qGWrk=) has sold twp_hkcarabine_mag_30rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 180.
13:50:16 [Market] Player "Kody" (id=vHFZU74BZI_ayyjapF-71XC4icK9QMS69f8Uu0qGWrk=) has send a requested to sell twp_howa_type20_mag_30rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
13:50:16 [Market] Player "Kody" (id=vHFZU74BZI_ayyjapF-71XC4icK9QMS69f8Uu0qGWrk=) has sold twp_howa_type20_mag_30rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 180.
