14:32:14 [Safezone] Player "MaryCuddles" (id=4r9Qw97BrWWUc-JN5svykH45KprkXCwFNoDt8GYM410= pos=<4192.059082, 14.316770, 4134.860840>) Entered the safezone
14:45:02 [Market] Player "MaryCuddles" (id=4r9Qw97BrWWUc-JN5svykH45KprkXCwFNoDt8GYM410=) has send a requested to purchase ammobox_9x19_25rnd x1 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
14:45:02 [Market] Player "MaryCuddles" (id=4r9Qw97BrWWUc-JN5svykH45KprkXCwFNoDt8GYM410=) has bought ammobox_9x19_25rnd x1 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 140.
15:04:41 [Market] Player "MaryCuddles" (id=4r9Qw97BrWWUc-JN5svykH45KprkXCwFNoDt8GYM410=) has send a requested to sell expansion_pmii25optic x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
15:04:41 [Market] Player "MaryCuddles" (id=4r9Qw97BrWWUc-JN5svykH45KprkXCwFNoDt8GYM410=) has sold expansion_pmii25optic x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 220.
15:04:44 [Market] Player "MaryCuddles" (id=4r9Qw97BrWWUc-JN5svykH45KprkXCwFNoDt8GYM410=) has send a requested to sell ammo_12gapellets x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
15:04:44 [Market] Player "MaryCuddles" (id=4r9Qw97BrWWUc-JN5svykH45KprkXCwFNoDt8GYM410=) has sold ammo_12gapellets x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 4.
15:04:56 [Market] Player "MaryCuddles" (id=4r9Qw97BrWWUc-JN5svykH45KprkXCwFNoDt8GYM410=) has send a requested to sell ammo_12gapellets x25 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
15:04:57 [Market] Player "MaryCuddles" (id=4r9Qw97BrWWUc-JN5svykH45KprkXCwFNoDt8GYM410=) has sold ammo_12gapellets x25 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 113.
15:05:34 [Market] Player "MaryCuddles" (id=4r9Qw97BrWWUc-JN5svykH45KprkXCwFNoDt8GYM410=) has send a requested to sell kitchenknife x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
15:05:34 [Market] Player "MaryCuddles" (id=4r9Qw97BrWWUc-JN5svykH45KprkXCwFNoDt8GYM410=) has sold kitchenknife x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 30.
15:07:13 [Market] Player "MaryCuddles" (id=4r9Qw97BrWWUc-JN5svykH45KprkXCwFNoDt8GYM410=) has send a requested to sell mvs_admin_pouch_od x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
15:07:13 [Market] Player "MaryCuddles" (id=4r9Qw97BrWWUc-JN5svykH45KprkXCwFNoDt8GYM410=) has sold mvs_admin_pouch_od x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 250.
15:07:27 [Market] Player "MaryCuddles" (id=4r9Qw97BrWWUc-JN5svykH45KprkXCwFNoDt8GYM410=) has send a requested to sell sewingkit x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
15:07:27 [Market] Player "MaryCuddles" (id=4r9Qw97BrWWUc-JN5svykH45KprkXCwFNoDt8GYM410=) has sold sewingkit x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 150.
15:07:28 [Market] Player "MaryCuddles" (id=4r9Qw97BrWWUc-JN5svykH45KprkXCwFNoDt8GYM410=) has send a requested to sell sewingkit x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
15:07:28 [Market] Player "MaryCuddles" (id=4r9Qw97BrWWUc-JN5svykH45KprkXCwFNoDt8GYM410=) has sold sewingkit x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 150.
15:07:48 [Market] Player "MaryCuddles" (id=4r9Qw97BrWWUc-JN5svykH45KprkXCwFNoDt8GYM410=) has send a requested to sell platecarrierpouches x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
15:07:48 [Market] Player "MaryCuddles" (id=4r9Qw97BrWWUc-JN5svykH45KprkXCwFNoDt8GYM410=) has sold platecarrierpouches x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 80.
15:08:12 [Market] Player "MaryCuddles" (id=4r9Qw97BrWWUc-JN5svykH45KprkXCwFNoDt8GYM410=) has send a requested to purchase twp_pistolsuppressor x1 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
15:08:12 [Market] Player "MaryCuddles" (id=4r9Qw97BrWWUc-JN5svykH45KprkXCwFNoDt8GYM410=) has bought twp_pistolsuppressor x1 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 2500.
