09:42:07 [Market] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=) has sold expansioncamotentkit x1 at the trader "BuildingSupplies (Boris [#STR_EXPANSION_MARKET_TRADER_BUILDING_SUPPLIES])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 900.
09:42:12 [Market] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=) has send a requested to sell expansionsafemedium x1 at the trader "BuildingSupplies (Boris [#STR_EXPANSION_MARKET_TRADER_BUILDING_SUPPLIES])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
09:42:12 [Market] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=) has sold expansionsafemedium x1 at the trader "BuildingSupplies (Boris [#STR_EXPANSION_MARKET_TRADER_BUILDING_SUPPLIES])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 1200.
09:43:04 [ATM Locker] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=) has deposited 5860 on his ATM account.
09:45:19 [VehicleCarKey] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ= pos=<4241.108887, 12.608049, 4206.454590>) used the  ExpansionCarKey to unlock a Expansion_Landrover
09:45:52 [Safezone] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ= pos=<4107.458984, 14.901532, 4365.815430>) Left the safezone
09:46:05 [VehicleCarKey] Player "MADness" (id=OWXX6Y-5LFd-7A6ELi2o-QPO0kjmZUMZvMTKL0AQ_q0= pos=<3855.701416, 19.488546, 4908.055176>) paired a  ExpansionCarKey to ExpansionGyrocopter
09:47:24 [VehicleCarKey] Player "Pivo_tn" (id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ= pos=<3590.886230, 23.008417, 4873.752441>) used the  ExpansionCarKey to lock a Expansion_Landrover
09:47:59 [CodeLockRaiding] ExpansionCodelock (<3590.640869, 22.977716, 4891.710449>) Code set by player "Pivo_tn" (ID = "GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=" at <3590.646729, 22.977716, 4890.433105>) and the code is 6225
09:48:37 [CodeLockRaiding] ExpansionCodelock (<3600.270996, 22.978659, 4884.310547>) Code set by player "Pivo_tn" (ID = "GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=" at <3599.378662, 22.978657, 4884.218262>) and the code is 6225
09:58:02 [CodeLockRaiding] ExpansionCodelock (<3591.008301, 22.978659, 4883.265625>) Code changed by player "Pivo_tn" (ID = "GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=" at <3589.517334, 22.988548, 4884.525879>) and the new code is 6225
09:58:18 [VehicleCarKey] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= pos=<3408.878662, 14.046147, 5028.413574>) used the  ExpansionCarKey to lock a ExpansionGyrocopter
09:58:21 [CodeLockRaiding] ExpansionCodelock (<3582.450439, 22.977716, 4887.300293>) Code changed by player "Pivo_tn" (ID = "GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=" at <3583.234863, 22.977665, 4886.454102>) and the new code is 6225
10:06:49 [Chat - Global]("Bflame"(id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=)): cuus
10:06:53 [Chat - Global]("Pivo_tn"(id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=)): cus
10:07:03 [Chat - Global]("Rikino"(id=R5QkEcrxtly9KY8lzQxLv6FMruTgXOxuSWhCmf7J-cA=)): to neni tvoje base
10:07:13 [Chat - Global]("Rikino"(id=R5QkEcrxtly9KY8lzQxLv6FMruTgXOxuSWhCmf7J-cA=)): tu kracas do steny :D
10:07:16 [Chat - Global]("Bflame"(id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=)): sorry som mal beh zapnuty :)
10:07:21 [Chat - Global]("Rikino"(id=R5QkEcrxtly9KY8lzQxLv6FMruTgXOxuSWhCmf7J-cA=)): jaaj
10:07:24 [Chat - Global]("Rikino"(id=R5QkEcrxtly9KY8lzQxLv6FMruTgXOxuSWhCmf7J-cA=)): si to prebehol
10:07:25 [Chat - Global]("Bflame"(id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=)): :)
10:10:23 [Safezone] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= pos=<4188.670410, 14.344616, 4241.868652>) Entered the safezone
10:10:47 [VehicleCarKey] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= pos=<4253.261719, 12.001287, 4201.331055>) used the  ExpansionCarKey to unlock a Expansion_Landrover_Green
10:11:05 [VehicleCarKey] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= pos=<4253.261719, 12.001287, 4201.331055>) used the  ExpansionCarKey to lock a Expansion_Landrover_Green
10:12:02 [Market] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=) has send a requested to sell expansion_mp7 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
10:12:02 [Market] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=) has sold expansion_mp7 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 450.
10:12:05 [Market] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=) has send a requested to sell deagle x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
10:12:05 [Market] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=) has sold deagle x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 820.
