12:02:35 [AI Object Patrol] Generating an example config...
12:18:49 [Market] Player "Honan " (id=htCDnLpFFf_5M--EE2Ozogwz4CTNBchyoCFouXFMQFU=) has sold mag_p1_8rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 25.
12:19:05 [Market] Player "Honan " (id=htCDnLpFFf_5M--EE2Ozogwz4CTNBchyoCFouXFMQFU=) has send a requested to sell twp_ak47_mag_30rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
12:19:06 [Market] Player "Honan " (id=htCDnLpFFf_5M--EE2Ozogwz4CTNBchyoCFouXFMQFU=) has sold twp_ak47_mag_30rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 180.
12:19:06 [Market] Player "Honan " (id=htCDnLpFFf_5M--EE2Ozogwz4CTNBchyoCFouXFMQFU=) has send a requested to sell twp_ak9_mag_30rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
12:19:06 [Market] Player "Honan " (id=htCDnLpFFf_5M--EE2Ozogwz4CTNBchyoCFouXFMQFU=) has sold twp_ak9_mag_30rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 180.
12:19:07 [Market] Player "Honan " (id=htCDnLpFFf_5M--EE2Ozogwz4CTNBchyoCFouXFMQFU=) has send a requested to sell twp_berettaswordcutlass_mag_20rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
12:19:07 [Market] Player "Honan " (id=htCDnLpFFf_5M--EE2Ozogwz4CTNBchyoCFouXFMQFU=) has sold twp_berettaswordcutlass_mag_20rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 120.
12:19:07 [Market] Player "[Chill] Rehy_CZ" (id=z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=) has send a requested to purchase expansionreflexmrsoptic x1 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
12:19:07 [Market] Player "[Chill] Rehy_CZ" (id=z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=) has bought expansionreflexmrsoptic x1 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 1150.
12:19:09 [Market] Player "Honan " (id=htCDnLpFFf_5M--EE2Ozogwz4CTNBchyoCFouXFMQFU=) has send a requested to sell twp_famasspecialops_mag_40rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
