06:46:02 [MissionAirdrop] An airdrop is heading towards "Krater" (pos=<7262.000000, 0.000000, 9618.000000> type=Random_Krater) with a ExpansionAirdropContainer
07:40:14 [Market] Player "Fjindra" (id=KEeyuhDsYLiECEFdBCYpCgFI-MzMaMCWXF6DqS5ShMM=) has send a requested to sell wrench x1 at the trader "BuildingSupplies (Boris [#STR_EXPANSION_MARKET_TRADER_BUILDING_SUPPLIES])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:40:14 [Market] Player "Fjindra" (id=KEeyuhDsYLiECEFdBCYpCgFI-MzMaMCWXF6DqS5ShMM=) has sold wrench x1 at the trader "BuildingSupplies (Boris [#STR_EXPANSION_MARKET_TRADER_BUILDING_SUPPLIES])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 60.
07:41:24 [Market] Player "Fjindra" (id=KEeyuhDsYLiECEFdBCYpCgFI-MzMaMCWXF6DqS5ShMM=) has send a requested to purchase sledgehammer x1 from the trader "BuildingSupplies (Boris [#STR_EXPANSION_MARKET_TRADER_BUILDING_SUPPLIES])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:41:24 [Market] Player "Fjindra" (id=KEeyuhDsYLiECEFdBCYpCgFI-MzMaMCWXF6DqS5ShMM=) has bought sledgehammer x1 from the trader "BuildingSupplies (Boris [#STR_EXPANSION_MARKET_TRADER_BUILDING_SUPPLIES])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 6000.
07:41:36 [Market] Player "Fjindra" (id=KEeyuhDsYLiECEFdBCYpCgFI-MzMaMCWXF6DqS5ShMM=) has send a requested to purchase pickaxe x1 from the trader "BuildingSupplies (Boris [#STR_EXPANSION_MARKET_TRADER_BUILDING_SUPPLIES])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:41:36 [Market] Player "Fjindra" (id=KEeyuhDsYLiECEFdBCYpCgFI-MzMaMCWXF6DqS5ShMM=) has bought pickaxe x1 from the trader "BuildingSupplies (Boris [#STR_EXPANSION_MARKET_TRADER_BUILDING_SUPPLIES])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 4800.
07:45:06 [Market] Player "Fjindra" (id=KEeyuhDsYLiECEFdBCYpCgFI-MzMaMCWXF6DqS5ShMM=) has send a requested to sell ammo_357 x10 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:45:06 [Market] Player "Fjindra" (id=KEeyuhDsYLiECEFdBCYpCgFI-MzMaMCWXF6DqS5ShMM=) has sold ammo_357 x10 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 60.
07:45:40 [Market] Player "Fjindra" (id=KEeyuhDsYLiECEFdBCYpCgFI-MzMaMCWXF6DqS5ShMM=) has send a requested to purchase ammobox_556x45_20rnd x1 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:45:41 [Market] Player "Fjindra" (id=KEeyuhDsYLiECEFdBCYpCgFI-MzMaMCWXF6DqS5ShMM=) has bought ammobox_556x45_20rnd x1 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 550.
07:57:20 [Market] Player "Fjindra" (id=KEeyuhDsYLiECEFdBCYpCgFI-MzMaMCWXF6DqS5ShMM=) has send a requested to purchase nail x1 from the trader "BuildingSupplies (Boris [#STR_EXPANSION_MARKET_TRADER_BUILDING_SUPPLIES])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:57:21 [Market] Player "Fjindra" (id=KEeyuhDsYLiECEFdBCYpCgFI-MzMaMCWXF6DqS5ShMM=) has bought nail x1 from the trader "BuildingSupplies (Boris [#STR_EXPANSION_MARKET_TRADER_BUILDING_SUPPLIES])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 70.
07:57:22 [Market] Player "Fjindra" (id=KEeyuhDsYLiECEFdBCYpCgFI-MzMaMCWXF6DqS5ShMM=) has send a requested to purchase nail x1 from the trader "BuildingSupplies (Boris [#STR_EXPANSION_MARKET_TRADER_BUILDING_SUPPLIES])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:57:22 [Market] Player "Fjindra" (id=KEeyuhDsYLiECEFdBCYpCgFI-MzMaMCWXF6DqS5ShMM=) has bought nail x1 from the trader "BuildingSupplies (Boris [#STR_EXPANSION_MARKET_TRADER_BUILDING_SUPPLIES])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 70.
07:58:01 [ATM Locker] Player "Fjindra" (id=KEeyuhDsYLiECEFdBCYpCgFI-MzMaMCWXF6DqS5ShMM=) has withdrawn 70 from his ATM account.
