12:02:39 [AI Object Patrol] Generating an example config...
12:04:24 [Expansion Quests] - SetupClientData - Loaded existing player quest data for player with UID: z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=
12:04:24 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=
12:04:24 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 18 - Creator UID: z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=
12:04:24 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 85 - Creator UID: z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=
12:05:07 [Expansion Quests] - SetupClientData - Loaded existing player quest data for player with UID: _as2mpidcm2ETxDe4vO9p_hL3BTuR3CWMaI4yFTnxa4=
12:05:07 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 20 - Creator UID: _as2mpidcm2ETxDe4vO9p_hL3BTuR3CWMaI4yFTnxa4=
12:05:07 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: _as2mpidcm2ETxDe4vO9p_hL3BTuR3CWMaI4yFTnxa4=
12:05:07 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 11 - Creator UID: _as2mpidcm2ETxDe4vO9p_hL3BTuR3CWMaI4yFTnxa4=
12:05:07 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 12 - Creator UID: _as2mpidcm2ETxDe4vO9p_hL3BTuR3CWMaI4yFTnxa4=
12:05:07 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 13 - Creator UID: _as2mpidcm2ETxDe4vO9p_hL3BTuR3CWMaI4yFTnxa4=
12:05:07 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 6 - Creator UID: _as2mpidcm2ETxDe4vO9p_hL3BTuR3CWMaI4yFTnxa4=
12:05:07 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 7 - Creator UID: _as2mpidcm2ETxDe4vO9p_hL3BTuR3CWMaI4yFTnxa4=
12:05:07 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 10 - Creator UID: _as2mpidcm2ETxDe4vO9p_hL3BTuR3CWMaI4yFTnxa4=
12:05:07 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 41 - Creator UID: _as2mpidcm2ETxDe4vO9p_hL3BTuR3CWMaI4yFTnxa4=
12:05:07 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 18 - Creator UID: _as2mpidcm2ETxDe4vO9p_hL3BTuR3CWMaI4yFTnxa4=
12:05:07 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 82 - Creator UID: _as2mpidcm2ETxDe4vO9p_hL3BTuR3CWMaI4yFTnxa4=
12:08:13 [Expansion Quests] - SetupClientData - Loaded existing player quest data for player with UID: htCDnLpFFf_5M--EE2Ozogwz4CTNBchyoCFouXFMQFU=
12:08:13 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 20 - Creator UID: htCDnLpFFf_5M--EE2Ozogwz4CTNBchyoCFouXFMQFU=
12:08:13 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: htCDnLpFFf_5M--EE2Ozogwz4CTNBchyoCFouXFMQFU=
12:09:26 [MissionAirdrop] An airdrop is heading towards "Krater" (pos=<7262.000000, 0.000000, 9618.000000> type=Random_Krater) with a ExpansionAirdropContainer_Basebuilding
15:00:36 [Market] Player "[Chill] Rehy_CZ" (id=z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=) has sold ammobox_545x39_20rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 135.
15:00:38 [Market] Player "[Chill] Rehy_CZ" (id=z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=) has send a requested to sell ammobox_762x54_20rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
15:00:38 [Market] Player "[Chill] Rehy_CZ" (id=z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=) has sold ammobox_762x54_20rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 192.
15:00:39 [Market] Player "[Chill] Rehy_CZ" (id=z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=) has send a requested to sell ammobox_545x39tracer_20rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
15:00:40 [Market] Player "[Chill] Rehy_CZ" (id=z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=) has sold ammobox_545x39tracer_20rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 135.
15:00:51 [Market] Player "[Chill] Rehy_CZ" (id=z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=) has send a requested to sell ammo_expansion_46x30 x64 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
15:00:52 [Market] Player "[Chill] Rehy_CZ" (id=z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=) has sold ammo_expansion_46x30 x64 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 96.
15:01:04 [Market] Player "[Chill] Rehy_CZ" (id=z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=) has send a requested to sell ammo_380 x21 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
15:01:04 [Market] Player "[Chill] Rehy_CZ" (id=z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=) has sold ammo_380 x21 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 32.
15:01:18 [Market] Player "[Chill] Rehy_CZ" (id=z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=) has send a requested to sell ammo_45acp x128 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
15:01:18 [Market] Player "[Chill] Rehy_CZ" (id=z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=) has sold ammo_45acp x128 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 192.
15:01:31 [Market] Player "[Chill] Rehy_CZ" (id=z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=) has send a requested to sell ammo_556x45 x45 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
15:01:31 [Market] Player "[Chill] Rehy_CZ" (id=z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=) has sold ammo_556x45 x45 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 338.
15:01:42 [Market] Player "[Chill] Rehy_CZ" (id=z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=) has send a requested to sell ammo_762x39 x303 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
15:01:42 [Market] Player "[Chill] Rehy_CZ" (id=z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=) has sold ammo_762x39 x303 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2545.
15:01:53 [Market] Player "[Chill] Rehy_CZ" (id=z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=) has send a requested to sell ammo_762x54 x300 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
