12:02:38 [AI Object Patrol] Generating an example config...
12:03:59 [Expansion Quests] - SetupClientData - Loaded existing player quest data for player with UID: iTnQj5Zddd6ul6ie1MZ58a6IghppA2N8HvFffg9SNWw=
12:03:59 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: iTnQj5Zddd6ul6ie1MZ58a6IghppA2N8HvFffg9SNWw=
12:03:59 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 11 - Creator UID: iTnQj5Zddd6ul6ie1MZ58a6IghppA2N8HvFffg9SNWw=
12:03:59 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 12 - Creator UID: iTnQj5Zddd6ul6ie1MZ58a6IghppA2N8HvFffg9SNWw=
12:03:59 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 3 - Creator UID: iTnQj5Zddd6ul6ie1MZ58a6IghppA2N8HvFffg9SNWw=
12:03:59 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 24 - Creator UID: iTnQj5Zddd6ul6ie1MZ58a6IghppA2N8HvFffg9SNWw=
12:03:59 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 15 - Creator UID: iTnQj5Zddd6ul6ie1MZ58a6IghppA2N8HvFffg9SNWw=
12:03:59 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 4 - Creator UID: iTnQj5Zddd6ul6ie1MZ58a6IghppA2N8HvFffg9SNWw=
12:03:59 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 22 - Creator UID: iTnQj5Zddd6ul6ie1MZ58a6IghppA2N8HvFffg9SNWw=
12:09:06 [MissionAirdrop] An airdrop is heading towards "Herrnchiemsee" (pos=<7218.000000, 0.000000, 3495.000000> type=Random_Herrnchiemsee) with a ExpansionAirdropContainer_Military
12:30:56 [Market] Player "Kocur69" (id=iTnQj5Zddd6ul6ie1MZ58a6IghppA2N8HvFffg9SNWw=) has sold twp_hkcarabine x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 1600.
12:30:59 [Market] Player "Kocur69" (id=iTnQj5Zddd6ul6ie1MZ58a6IghppA2N8HvFffg9SNWw=) has send a requested to sell twp_m4v5 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
12:30:59 [Market] Player "Kocur69" (id=iTnQj5Zddd6ul6ie1MZ58a6IghppA2N8HvFffg9SNWw=) has sold twp_m4v5 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 1800.
12:31:01 [Market] Player "Kocur69" (id=iTnQj5Zddd6ul6ie1MZ58a6IghppA2N8HvFffg9SNWw=) has send a requested to sell twp_parasa58 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
12:31:01 [Market] Player "Kocur69" (id=iTnQj5Zddd6ul6ie1MZ58a6IghppA2N8HvFffg9SNWw=) has sold twp_parasa58 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 3200.
12:31:01 [Market] Player "Kocur69" (id=iTnQj5Zddd6ul6ie1MZ58a6IghppA2N8HvFffg9SNWw=) has send a requested to sell twp_ruger556_magpul x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
12:31:02 [Market] Player "Kocur69" (id=iTnQj5Zddd6ul6ie1MZ58a6IghppA2N8HvFffg9SNWw=) has sold twp_ruger556_magpul x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 1700.
12:31:06 [Market] Player "Kocur69" (id=iTnQj5Zddd6ul6ie1MZ58a6IghppA2N8HvFffg9SNWw=) has send a requested to sell cz75 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
12:31:06 [Market] Player "Kocur69" (id=iTnQj5Zddd6ul6ie1MZ58a6IghppA2N8HvFffg9SNWw=) has sold cz75 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 54.
12:31:21 [Market] Player "Kocur69" (id=iTnQj5Zddd6ul6ie1MZ58a6IghppA2N8HvFffg9SNWw=) has send a requested to sell twp_ammo_3006 x120 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
