=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2022-8-26_18-3-3
====================================================================================
18:3:3 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
18:3:3 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
18:3:3 | [PermissionManager] Perm (FreeCamera) has been registered!
18:3:3 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
18:3:3 | [PermissionManager] Perm (MenuItemManager) has been registered!
18:3:3 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
18:3:3 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
18:3:3 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
18:3:3 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
18:3:3 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
18:3:3 | [PermissionManager] Perm (MenuServerManager) has been registered!
18:3:3 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
18:3:3 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
18:3:3 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
18:3:3 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
18:3:3 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
18:3:3 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
18:3:3 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
18:3:3 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
18:3:3 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
18:3:3 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
18:3:3 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
18:3:3 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
18:3:3 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
18:3:3 | [PermissionManager] Perm (MenuObjectManager) has been registered!
18:3:3 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
18:3:3 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
18:3:3 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
18:3:3 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
18:3:3 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
18:3:3 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
18:3:3 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
18:3:3 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
18:3:3 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
18:3:3 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
18:3:3 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
18:3:3 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
18:3:3 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
18:3:3 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
18:3:3 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
18:3:3 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
18:3:3 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
18:3:3 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
18:3:3 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
18:3:3 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
18:3:3 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
18:3:3 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
18:3:3 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
18:3:3 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
18:3:3 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
18:3:3 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
18:3:3 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
18:3:3 | [PermissionManager] Perm (MenuBansManager) has been registered!
18:3:3 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
18:3:3 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
18:3:3 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
18:3:3 | [PermissionManager] Perm (MenuWebHooks) has been registered!
18:3:3 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
18:3:3 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
18:3:3 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
18:3:3 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
18:3:3 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
18:3:3 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
18:3:3 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
18:3:3 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
18:3:3 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
18:3:3 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
18:3:3 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
18:3:3 | [PermissionManager] Perm (EspToolsMenu) has been registered!
18:3:3 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
18:3:3 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
18:3:3 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
18:3:3 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
18:3:3 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
18:3:3 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
18:3:3 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
18:3:3 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
18:3:3 | [PermissionManager] Adding Super Admin (76561198016672415)
18:3:3 | [PermissionManager] Loaded UserGroups.json
18:3:3 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
18:3:3 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
18:3:3 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
18:3:3 | Building Sets Loaded: 0
18:3:3 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
18:3:3 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
18:3:3 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
18:3:3 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
18:3:3 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
18:3:3 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
18:3:3 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
18:3:3 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
18:3:3 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
18:3:3 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
18:3:3 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
18:3:3 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
18:3:3 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
18:3:3 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
18:3:3 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
18:3:3 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
18:3:57 | Player "MADness" (steamId=76561198968762750) connected to server!
18:4:11 | Player "MADness" (steamId=76561198968762750) connected to server!
18:4:28 | "MADness" (steamid=76561198968762750) toggled godmode
18:4:30 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4277.679199, 11.559227, 4198.295410>)
18:4:30 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4275.069824, 12.388248, 4200.430664>)
18:4:31 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4270.488281, 12.613552, 4204.664063>)
18:4:32 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4268.414063, 13.621470, 4206.663574>)
18:4:40 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4260.174805, 11.573065, 4202.199707>)
18:4:41 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4259.573730, 11.638380, 4197.681152>)
18:4:42 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4258.844238, 11.617769, 4192.862793>)
18:4:44 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4255.483398, 11.652346, 4189.453125>)
18:5:13 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4250.558594, 11.520222, 4180.979980>)
18:5:14 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4242.876465, 10.699049, 4167.636230>)
18:5:14 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4242.276855, 11.711041, 4166.626953>)
18:5:15 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4223.631348, 10.352221, 4149.277832>)
18:5:16 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4217.542480, 11.042933, 4143.798828>)
18:5:17 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4212.350586, 11.842337, 4139.140625>)
18:5:17 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4209.338379, 12.801610, 4135.543457>)
18:5:19 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4208.625000, 12.841778, 4132.112793>)
18:6:39 | "MADness" (steamid=76561198968762750) Spawned Item: (TetracyclineAntibiotics)
18:6:47 | "MADness" (steamid=76561198968762750) Spawned Item: (MAD_CandybagTRAP)
18:7:27 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4234.224609, 12.970871, 4202.657715>)
18:7:27 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4227.906738, 13.621484, 4207.398926>)
18:7:28 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4221.085449, 14.030016, 4213.523926>)
18:7:28 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4215.419434, 14.316773, 4219.102539>)
18:7:28 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4209.820801, 14.316773, 4224.714844>)
18:7:28 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4204.454590, 14.316773, 4230.097168>)
18:7:29 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4199.226074, 14.316773, 4235.281738>)
18:7:29 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4193.831543, 14.316773, 4240.710938>)
18:7:29 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4188.292480, 14.304626, 4246.227051>)
18:7:29 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4182.882324, 14.304626, 4251.617676>)
18:7:30 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4177.188965, 14.304626, 4257.316895>)
18:7:35 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4168.980957, 14.029994, 4269.103516>)
18:7:35 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4165.871582, 14.475946, 4274.513672>)
18:7:35 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4162.126953, 14.576569, 4280.894531>)
18:7:36 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4158.560059, 14.629167, 4287.084961>)
18:7:36 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4155.867188, 14.600973, 4294.995605>)
18:7:37 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4153.946289, 14.469440, 4301.467773>)
18:7:37 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4152.186035, 14.340449, 4306.402832>)
18:7:37 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4150.431641, 14.192222, 4311.404297>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4148.376953, 13.974261, 4317.102051>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4148.336914, 13.968635, 4317.228027>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4148.299316, 13.963336, 4317.346680>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4148.259766, 13.957692, 4317.473145>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4148.223145, 13.952339, 4317.593262>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4148.183594, 13.946704, 4317.719727>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4148.145508, 13.941331, 4317.839844>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4148.107910, 13.936091, 4317.957520>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4148.074219, 13.931520, 4318.059570>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4148.039063, 13.926848, 4318.164063>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4147.579102, 13.868420, 4319.471191>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4146.882813, 13.803200, 4321.448730>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4146.631836, 13.782959, 4322.153809>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4146.603516, 13.780859, 4322.226563>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4146.582520, 13.779149, 4322.286133>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4146.564941, 13.777480, 4322.344727>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4146.177246, 13.746048, 4323.438965>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4145.568359, 13.697308, 4325.155273>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4145.334473, 13.691341, 4325.797363>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4145.302246, 13.690720, 4325.871582>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4145.228516, 13.688856, 4326.067383>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4145.102051, 13.685740, 4326.400391>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4144.745605, 13.679098, 4327.395508>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4144.266602, 13.671405, 4328.738770>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4143.963379, 13.666751, 4329.569824>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4143.794434, 13.664454, 4330.014648>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4143.712402, 13.664993, 4330.230469>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4143.679688, 13.665220, 4330.319336>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4143.390625, 13.667063, 4331.124512>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4142.951660, 13.670487, 4332.350586>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4142.577637, 13.674236, 4333.381836>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4142.382813, 13.676162, 4333.916504>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4142.316406, 13.676850, 4334.110352>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4142.278320, 13.677224, 4334.232422>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4142.163574, 13.678370, 4334.565918>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4141.998535, 13.680161, 4335.035645>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4141.671387, 13.687136, 4335.961426>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4141.263184, 13.695838, 4337.116699>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4141.046387, 13.700500, 4337.740723>)
18:7:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4140.897461, 13.703733, 4338.180664>)
