=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2022-5-26_10-7-28
====================================================================================
10:7:28 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
10:7:28 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
10:7:28 | [PermissionManager] Perm (FreeCamera) has been registered!
10:7:28 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
10:7:28 | [PermissionManager] Perm (MenuItemManager) has been registered!
10:7:28 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
10:7:28 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
10:7:28 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
10:7:28 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
10:7:28 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
10:7:28 | [PermissionManager] Perm (MenuServerManager) has been registered!
10:7:28 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
10:7:28 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
10:7:28 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
10:7:28 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
10:7:28 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
10:7:28 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
10:7:28 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
10:7:28 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
10:7:28 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
10:7:28 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
10:7:28 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
10:7:28 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
10:7:28 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
10:7:28 | [PermissionManager] Perm (MenuObjectManager) has been registered!
10:7:28 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
10:7:28 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
10:7:28 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
10:7:28 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
10:7:28 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
10:7:28 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
10:7:28 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
10:7:28 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
10:7:28 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
10:7:28 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
10:7:28 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
10:7:28 | [PermissionManager] Perm (MenuBansManager) has been registered!
10:7:28 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
10:7:28 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
10:7:28 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
10:7:28 | [PermissionManager] Perm (MenuWebHooks) has been registered!
10:7:28 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
10:7:28 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
10:7:28 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
10:7:28 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
10:7:28 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
10:7:28 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
10:7:28 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
10:7:28 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
10:7:28 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
10:7:28 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
10:7:28 | [PermissionManager] Perm (EspToolsMenu) has been registered!
10:7:28 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
10:7:28 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
10:7:28 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
10:7:28 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
10:7:28 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
10:7:28 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
10:7:28 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
10:7:28 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
10:7:28 | [PermissionManager] Adding Super Admin (76561198016672415)
10:7:28 | [PermissionManager] Loaded UserGroups.json
10:7:28 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
10:7:28 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
10:7:28 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
10:7:28 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
10:7:28 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
10:7:28 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
10:7:28 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
10:7:28 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
10:7:28 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
10:7:28 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
10:7:28 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
10:7:28 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
10:7:28 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
10:7:28 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
10:7:28 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
10:7:28 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
10:7:28 | Building Sets Loaded: 0
10:7:28 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
10:7:28 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
11:22:41 | Player "MADness" (steamId=76561198968762750) connected to server!
11:23:4 | Player "MADness" (steamId=76561198968762750) connected to server!
11:23:36 | "MADness" (steamid=76561198968762750) toggled godmode
11:23:45 | "MADness": (steamid=76561198968762750) teleported to (pos=411.874,0,7422.98)
11:24:9 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<360.600372, 365.085510, 7431.944336>)
11:24:10 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<333.525970, 364.619995, 7441.416016>)
11:24:11 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<315.248474, 364.619995, 7446.852051>)
11:24:16 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<296.382416, 369.915161, 7463.898438>)
11:24:17 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<291.711517, 370.444977, 7469.201660>)
11:24:19 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<288.260162, 370.254456, 7471.578125>)
11:24:21 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<283.973145, 370.590454, 7473.164551>)
11:24:22 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<280.168579, 370.590454, 7473.438965>)
11:24:22 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<276.946259, 370.505096, 7473.116699>)
11:24:25 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<275.372955, 370.066467, 7473.259277>)
11:24:27 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<264.611298, 357.280365, 7473.706543>)
11:24:29 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<271.666077, 347.862183, 7468.049316>)
11:24:31 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<264.434357, 337.928497, 7474.666992>)
11:24:33 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<271.871124, 328.219940, 7467.840820>)
11:24:35 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<264.167267, 318.278748, 7474.790039>)
11:24:37 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<272.163727, 308.633026, 7466.602539>)
11:26:25 | "MADness" (steamid=76561198968762750) deleted object "CJ_LootChest_Olive_Medium" (pos=<252.412003, 308.660004, 7461.620117>)
11:28:26 | "MADness" (steamid=76561198968762750) Spawned Item: (Lockpick)
11:30:6 | "MADness" (steamid=76561198968762750) deleted object "CJ_LootChest_Green_Medium" (pos=<259.092987, 307.891998, 7402.310059>)
11:30:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<262.618042, 308.633026, 7429.283691>)
11:31:10 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<264.967102, 297.853546, 7473.241699>)
11:31:12 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<272.534668, 247.118515, 7472.429199>)
11:31:15 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<267.772491, 211.916489, 7472.000488>)
11:36:57 | "MADness": (steamid=76561198968762750) teleported to (pos=Sweet Home)
11:37:15 | Player "MADness" (steamId=76561198968762750) disconnected from server.
11:37:29 | Player "MADness" (steamId=76561198968762750) connected to server!
11:37:45 | Player "MADness" (steamId=76561198968762750) connected to server!
11:44:59 | "MADness": (steamid=76561198968762750) teleported to (pos=Lunapark)
11:49:3 | Player "Majky" (steamId=76561198275611052) connected to server!
11:49:25 | Player "Majky" (steamId=76561198275611052) connected to server!
11:52:50 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4247.719727, 9.897821, 4147.216797>)
11:52:50 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4281.131836, 6.062466, 4133.495117>)
11:52:51 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4295.486816, 5.868554, 4125.988281>)
11:52:51 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4304.062500, 5.340276, 4117.638672>)
11:52:51 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4304.085449, 5.339731, 4117.562500>)
11:52:51 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4304.129883, 5.338904, 4117.502930>)
11:52:51 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4304.195313, 5.337766, 4117.447754>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4304.268066, 5.336495, 4117.385254>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4304.345703, 5.335088, 4117.316895>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4305.934570, 5.321260, 4115.621094>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4308.698242, 5.320013, 4112.664063>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4309.894531, 5.319991, 4111.389648>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4309.997559, 5.319996, 4111.289063>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4310.054199, 5.319890, 4111.210449>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4310.098145, 5.319806, 4111.128418>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4310.528320, 5.318935, 4110.637695>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4311.285645, 5.313788, 4109.797852>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4312.904785, 5.279028, 4108.046387>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4314.970215, 5.234944, 4105.825195>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4315.957520, 5.221291, 4104.745605>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4316.069336, 5.220210, 4104.593750>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4316.445313, 5.217332, 4104.155273>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4317.052246, 5.212854, 4103.464355>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4317.347168, 5.210633, 4103.124512>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4317.418945, 5.210035, 4103.037109>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4317.496094, 5.209427, 4102.943359>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4317.575195, 5.208775, 4102.848145>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4319.082031, 5.198184, 4101.183105>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4322.210938, 5.051389, 4097.733398>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4323.649902, 4.958021, 4096.145508>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4323.728027, 4.952902, 4096.057617>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4323.849121, 4.944739, 4095.913330>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4324.012207, 4.933710, 4095.717041>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4324.124512, 4.926254, 4095.588135>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4324.214355, 4.920553, 4095.493408>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4325.634277, 4.837332, 4093.928955>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4328.916992, 4.670368, 4090.311035>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4329.283691, 4.653297, 4089.913574>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4329.303223, 4.652710, 4089.898438>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4329.358398, 4.650966, 4089.845215>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4329.447266, 4.648141, 4089.757080>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4329.533203, 4.645381, 4089.670654>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4329.628418, 4.642314, 4089.574707>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4329.690918, 4.640321, 4089.511475>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4329.764160, 4.637971, 4089.437744>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4329.823242, 4.636068, 4089.378174>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4329.878906, 4.634267, 4089.320557>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4329.927734, 4.632650, 4089.267822>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4329.978027, 4.630997, 4089.213379>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4330.087891, 4.628637, 4089.082275>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4330.264648, 4.625360, 4088.868408>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4330.385254, 4.623139, 4088.723389>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4330.451172, 4.621922, 4088.644043>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4330.521973, 4.620617, 4088.559082>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4330.587402, 4.619395, 4088.478760>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4330.660645, 4.618019, 4088.388916>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4330.737305, 4.616591, 4088.294434>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4330.810059, 4.615207, 4088.204102>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4330.879883, 4.613875, 4088.116699>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4331.333984, 4.605838, 4087.597168>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4332.015625, 4.593793, 4086.822266>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4333.597168, 4.566596, 4085.083008>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4335.597656, 4.559997, 4082.903809>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4336.648438, 4.559985, 4081.734375>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4336.834473, 4.559984, 4081.487305>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4336.948242, 4.560017, 4081.346436>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4337.018066, 4.559992, 4081.272705>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4337.295410, 4.559990, 4080.956055>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4337.731445, 4.559982, 4080.454834>)
11:52:52 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4339.176270, 4.559999, 4078.863281>)
11:52:53 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4341.510742, 4.556969, 4076.307861>)
11:52:53 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4342.528320, 4.554916, 4075.198730>)
11:52:53 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4342.625000, 4.554739, 4075.100342>)
11:52:53 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4342.801270, 4.552955, 4074.897217>)
11:52:53 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4342.994629, 4.549340, 4074.666504>)
11:52:53 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4343.623047, 4.537506, 4073.911133>)
11:52:53 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4344.588379, 4.519298, 4072.748779>)
11:52:53 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4346.122559, 4.499670, 4071.084473>)
11:52:53 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4347.912598, 4.488525, 4069.218750>)
11:52:53 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4348.744141, 4.488384, 4068.352539>)
11:52:53 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4348.788574, 4.488379, 4068.304688>)
11:52:53 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4349.068848, 4.488141, 4067.964111>)
11:52:53 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4349.413574, 4.487827, 4067.542969>)
11:52:53 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4350.836426, 4.483837, 4065.961182>)
11:52:53 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4352.916992, 4.461488, 4063.677734>)
11:52:53 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4354.161621, 4.442474, 4062.319580>)
11:52:53 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4354.613281, 4.435708, 4061.836670>)
11:52:53 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4354.883789, 4.431561, 4061.540527>)
11:52:53 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<4354.981934, 4.429940, 4061.423584>)
