=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2022-8-11_14-2-35
====================================================================================
14:2:35 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
14:2:35 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
14:2:35 | [PermissionManager] Perm (FreeCamera) has been registered!
14:2:35 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
14:2:35 | [PermissionManager] Perm (MenuItemManager) has been registered!
14:2:35 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
14:2:35 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
14:2:35 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
14:2:35 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
14:2:35 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
14:2:35 | [PermissionManager] Perm (MenuServerManager) has been registered!
14:2:35 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
14:2:35 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
14:2:35 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
14:2:35 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
14:2:35 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
14:2:35 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
14:2:35 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
14:2:35 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
14:2:35 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
14:2:35 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
14:2:35 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
14:2:35 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
14:2:35 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
14:2:35 | [PermissionManager] Perm (MenuObjectManager) has been registered!
14:2:35 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
14:2:35 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
14:2:35 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
14:2:35 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
14:2:35 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
14:2:35 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
14:2:35 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
14:2:35 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
14:2:35 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
14:2:35 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
14:2:35 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
14:2:35 | [PermissionManager] Perm (MenuBansManager) has been registered!
14:2:35 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
14:2:35 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
14:2:35 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
14:2:35 | [PermissionManager] Perm (MenuWebHooks) has been registered!
14:2:35 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
14:2:35 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
14:2:35 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
14:2:35 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
14:2:35 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
14:2:35 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
14:2:35 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
14:2:35 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
14:2:35 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
14:2:35 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
14:2:35 | [PermissionManager] Perm (EspToolsMenu) has been registered!
14:2:35 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
14:2:35 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
14:2:35 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
14:2:35 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
14:2:35 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
14:2:35 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
14:2:35 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
14:2:35 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
14:2:35 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
14:2:35 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
14:2:35 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
14:2:35 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
14:2:35 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
14:2:35 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
14:2:35 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
14:2:35 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
14:2:35 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
14:2:35 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
14:2:35 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
14:2:35 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
14:2:35 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
14:2:35 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
14:2:35 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
14:2:35 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
14:2:35 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
14:2:35 | Building Sets Loaded: 0
14:2:35 | [PermissionManager] Adding Super Admin (76561198016672415)
14:2:35 | [PermissionManager] Loaded UserGroups.json
14:2:35 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
14:2:35 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
14:4:12 | Player "MADness" (steamId=76561198968762750) connected to server!
14:4:34 | Player "MADness" (steamId=76561198968762750) connected to server!
14:4:38 | "MADness" (steamid=76561198968762750) toggled godmode
14:5:8 | "MADness" (steamid=76561198968762750) deleted object "Outlive_Black_CargoPants" (pos=<749.235779, 28.671204, 9747.426758>)
14:5:25 | Player "Loomio" (steamId=76561198122836148) connected to server!
14:5:38 | Player "Loomio" (steamId=76561198122836148) connected to server!
14:6:7 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<740.090759, 23.798336, 9737.632813>)
14:6:30 | "76561198968762750" (steamid=76561198968762750) teleported to (pos=<3709.739990, 396.209259, 144.608994>)
14:6:30 | "MADness": (steamid=76561198968762750) teleported to (pos=3709.74,0,144.609)
14:6:34 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<3719.955078, 395.921539, 154.228104>)
14:6:36 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<3720.591797, 396.379883, 166.882431>)
14:6:37 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<3718.980225, 396.628448, 180.737793>)
14:6:38 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<3725.042236, 395.494507, 202.019608>)
14:6:39 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<3732.619385, 394.370697, 215.217621>)
14:6:39 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<3736.650391, 394.921753, 221.573135>)
14:6:39 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<3736.701172, 394.933594, 221.642883>)
14:6:39 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<3736.744385, 394.943970, 221.703400>)
14:6:39 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<3736.786133, 394.954315, 221.763351>)
14:6:39 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<3736.818848, 394.962921, 221.811981>)
14:6:39 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<3736.853027, 394.972260, 221.864273>)
14:6:39 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<3736.885986, 394.982025, 221.917755>)
14:6:39 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<3737.319824, 395.103455, 222.594604>)
14:6:39 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<3738.732910, 395.435242, 224.797775>)
14:6:39 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<3739.527588, 395.710999, 226.035721>)
14:6:39 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<3739.613037, 395.743500, 226.181473>)
