=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2022-5-31_10-7-28
====================================================================================
10:7:28 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
10:7:28 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
10:7:28 | [PermissionManager] Perm (FreeCamera) has been registered!
10:7:28 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
10:7:28 | [PermissionManager] Perm (MenuItemManager) has been registered!
10:7:28 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
10:7:28 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
10:7:28 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
10:7:28 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
10:7:28 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
10:7:28 | [PermissionManager] Perm (MenuServerManager) has been registered!
10:7:28 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
10:7:28 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
10:7:28 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
10:7:28 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
10:7:28 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
10:7:28 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
10:7:28 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
10:7:28 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
10:7:28 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
10:7:28 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
10:7:28 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
10:7:28 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
10:7:28 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
10:7:28 | [PermissionManager] Perm (MenuObjectManager) has been registered!
10:7:28 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
10:7:28 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
10:7:28 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
10:7:28 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
10:7:28 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
10:7:28 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
10:7:28 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
10:7:28 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
10:7:28 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
10:7:28 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
10:7:28 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
10:7:28 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
10:7:28 | [PermissionManager] Perm (MenuBansManager) has been registered!
10:7:28 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
10:7:28 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
10:7:28 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
10:7:28 | [PermissionManager] Perm (MenuWebHooks) has been registered!
10:7:28 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
10:7:28 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
10:7:28 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
10:7:28 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
10:7:28 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
10:7:28 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
10:7:28 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
10:7:28 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
10:7:28 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
10:7:28 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
10:7:28 | [PermissionManager] Perm (EspToolsMenu) has been registered!
10:7:28 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
10:7:28 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
10:7:28 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
10:7:28 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
10:7:28 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
10:7:28 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
10:7:28 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
10:7:28 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
10:7:28 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
10:7:28 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
10:7:28 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
10:7:28 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
10:7:28 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
10:7:28 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
10:7:28 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
10:7:28 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
10:7:28 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
10:7:28 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
10:7:28 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
10:7:28 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
10:7:28 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
10:7:28 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
10:7:28 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
10:7:28 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
10:7:28 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
10:7:28 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
10:7:28 | [PermissionManager] Adding Super Admin (76561198016672415)
10:7:28 | [PermissionManager] Loaded UserGroups.json
10:7:28 | Building Sets Loaded: 0
10:12:21 | Player "Bflame" (steamId=76561198072840834) connected to server!
10:12:41 | Player "Bflame" (steamId=76561198072840834) connected to server!
10:41:9 | Player "Bflame" (steamId=76561198072840834) disconnected from server.
10:41:9 | Player "Bflame" (steamId=76561198072840834) disconnected from server.
10:41:11 | Player "Bflame" (steamId=76561198072840834) disconnected from server.
11:10:22 | Player "Bflame" (steamId=76561198072840834) connected to server!
11:10:42 | Player "Bflame" (steamId=76561198072840834) connected to server!
11:24:4 | Player "Bflame" (steamId=76561198072840834) disconnected from server.
11:24:4 | Player "Bflame" (steamId=76561198072840834) disconnected from server.
11:24:5 | Player "Bflame" (steamId=76561198072840834) disconnected from server.
11:24:27 | Player "Bflame" (steamId=76561198072840834) connected to server!
11:24:39 | Player "Bflame" (steamId=76561198072840834) connected to server!
11:55:43 | Player "Bflame" (steamId=76561198072840834) disconnected from server.
11:55:43 | Player "Bflame" (steamId=76561198072840834) disconnected from server.
11:55:44 | Player "Bflame" (steamId=76561198072840834) disconnected from server.
12:21:13 | Player "Bflame" (steamId=76561198072840834) connected to server!
12:21:29 | Player "Bflame" (steamId=76561198072840834) connected to server!
12:47:4 | Player "Bflame" (steamId=76561198072840834) disconnected from server.
12:47:4 | Player "Bflame" (steamId=76561198072840834) disconnected from server.
12:47:6 | Player "Bflame" (steamId=76561198072840834) disconnected from server.
12:47:46 | Player "BADxWIN" (steamId=76561199040512597) connected to server!
12:48:10 | Player "BADxWIN" (steamId=76561199040512597) connected to server!
12:55:29 | Player "ellarva24" (steamId=76561199158798836) connected to server!
13:1:54 | Player "BADxWIN" (steamId=76561199040512597) disconnected from server.
13:1:54 | Player "BADxWIN" (steamId=76561199040512597) disconnected from server.
13:1:56 | Player "BADxWIN" (steamId=76561199040512597) disconnected from server.
13:2:38 | Player "Autistamilan" (steamId=76561199127664505) connected to server!
13:3:17 | Player "Autistamilan" (steamId=76561199127664505) connected to server!
13:5:5 | Player "daagoq" (steamId=76561199096060115) connected to server!
13:5:32 | Player "daagoq" (steamId=76561199096060115) connected to server!
13:16:31 | Player "BADxWIN" (steamId=76561199040512597) connected to server!
13:16:49 | Player "BADxWIN" (steamId=76561199040512597) connected to server!
13:20:10 | Player "ellarva24" (steamId=76561199158798836) disconnected from server.
13:20:10 | Player "ellarva24" (steamId=76561199158798836) disconnected from server.
13:20:11 | Player "ellarva24" (steamId=76561199158798836) disconnected from server.
13:21:41 | Player "daagoq" (steamId=76561199096060115) disconnected from server.
13:21:41 | Player "daagoq" (steamId=76561199096060115) disconnected from server.
13:21:42 | Player "daagoq" (steamId=76561199096060115) disconnected from server.
13:23:32 | Player "Puaaata" (steamId=76561198359699020) connected to server!
13:23:55 | Player "Puaaata" (steamId=76561198359699020) connected to server!
13:24:8 | Player "P@lko2265" (steamId=76561198039629108) connected to server!
13:24:34 | Player "P@lko2265" (steamId=76561198039629108) connected to server!
13:26:24 | Player "Bflame" (steamId=76561198072840834) connected to server!
13:26:44 | Player "Bflame" (steamId=76561198072840834) connected to server!
13:33:7 | Player "daagoq" (steamId=76561199096060115) connected to server!
13:33:22 | Player "daagoq" (steamId=76561199096060115) connected to server!
13:33:27 | Player "daagoq" (steamId=76561199096060115) disconnected from server.
13:33:27 | Player "daagoq" (steamId=76561199096060115) disconnected from server.
13:33:28 | Player "daagoq" (steamId=76561199096060115) disconnected from server.
13:40:21 | Player "Puaaata" (steamId=76561198359699020) disconnected from server.
13:40:48 | Player "Puaaata" (steamId=76561198359699020) connected to server!
13:41:2 | Player "Puaaata" (steamId=76561198359699020) connected to server!
13:50:27 | Player "BADxWIN" (steamId=76561199040512597) disconnected from server.
13:50:39 | Player "Autistamilan" (steamId=76561199127664505) disconnected from server.
13:50:50 | Player "Puaaata" (steamId=76561198359699020) disconnected from server.
13:50:50 | Player "Puaaata" (steamId=76561198359699020) disconnected from server.
13:50:52 | Player "Puaaata" (steamId=76561198359699020) disconnected from server.
13:55:45 | Player "Bflame" (steamId=76561198072840834) disconnected from server.
13:55:45 | Player "Bflame" (steamId=76561198072840834) disconnected from server.
13:55:48 | Player "Bflame" (steamId=76561198072840834) disconnected from server.
14:3:20 | Player "P@lko2265" (steamId=76561198039629108) disconnected from server.
14:3:20 | Player "P@lko2265" (steamId=76561198039629108) disconnected from server.
14:3:22 | Player "P@lko2265" (steamId=76561198039629108) disconnected from server.
