=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2022-6-7_6-2-35
====================================================================================
6:2:35 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
6:2:35 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
6:2:35 | [PermissionManager] Perm (FreeCamera) has been registered!
6:2:35 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
6:2:35 | [PermissionManager] Perm (MenuItemManager) has been registered!
6:2:35 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
6:2:35 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
6:2:35 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
6:2:35 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
6:2:35 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
6:2:35 | [PermissionManager] Perm (MenuServerManager) has been registered!
6:2:35 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
6:2:35 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
6:2:35 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
6:2:35 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
6:2:35 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
6:2:35 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
6:2:35 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
6:2:35 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
6:2:35 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
6:2:35 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
6:2:35 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
6:2:35 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
6:2:35 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
6:2:35 | [PermissionManager] Perm (MenuObjectManager) has been registered!
6:2:35 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
6:2:35 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
6:2:35 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
6:2:35 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
6:2:35 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
6:2:35 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
6:2:35 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
6:2:35 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
6:2:35 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
6:2:35 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
6:2:35 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
6:2:35 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
6:2:35 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
6:2:35 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
6:2:35 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
6:2:35 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
6:2:35 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
6:2:35 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
6:2:35 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
6:2:35 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
6:2:35 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
6:2:35 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
6:2:35 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
6:2:35 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
6:2:35 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
6:2:35 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
6:2:35 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
6:2:35 | [PermissionManager] Perm (MenuBansManager) has been registered!
6:2:35 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
6:2:35 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
6:2:35 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
6:2:35 | [PermissionManager] Perm (MenuWebHooks) has been registered!
6:2:35 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
6:2:35 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
6:2:35 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
6:2:35 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
6:2:35 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
6:2:35 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
6:2:35 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
6:2:35 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
6:2:35 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
6:2:35 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
6:2:35 | [PermissionManager] Perm (EspToolsMenu) has been registered!
6:2:35 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
6:2:35 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
6:2:35 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
6:2:35 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
6:2:35 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
6:2:35 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
6:2:35 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
6:2:35 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
6:2:35 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
6:2:35 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
6:2:35 | [PermissionManager] Adding Super Admin (76561198016672415)
6:2:35 | [PermissionManager] Loaded UserGroups.json
6:2:35 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
6:2:35 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
6:2:35 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
6:2:35 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
6:2:35 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
6:2:35 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
6:2:35 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
6:2:35 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
6:2:35 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
6:2:35 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
6:2:35 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
6:2:35 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
6:2:35 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
6:2:35 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
6:2:35 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
6:2:35 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
6:2:35 | Building Sets Loaded: 0
6:6:3 | Player "martyCZ" (steamId=76561198873247465) connected to server!
6:6:29 | Player "martyCZ" (steamId=76561198873247465) connected to server!
6:7:55 | Player "StaryKojot" (steamId=76561198080276111) connected to server!
6:8:12 | Player "StaryKojot" (steamId=76561198080276111) connected to server!
6:17:18 | Player "martyCZ" (steamId=76561198873247465) disconnected from server.
6:17:18 | Player "martyCZ" (steamId=76561198873247465) disconnected from server.
7:39:35 | Player "StaryKojot" (steamId=76561198080276111) disconnected from server.
7:39:35 | Player "StaryKojot" (steamId=76561198080276111) disconnected from server.
7:39:37 | Player "StaryKojot" (steamId=76561198080276111) disconnected from server.
7:39:44 | Player "P@lko2265" (steamId=76561198039629108) connected to server!
7:40:5 | Player "StaryKojot" (steamId=76561198080276111) connected to server!
7:40:5 | Player "P@lko2265" (steamId=76561198039629108) connected to server!
7:40:21 | Player "StaryKojot" (steamId=76561198080276111) connected to server!
8:15:13 | Player "P@lko2265" (steamId=76561198039629108) disconnected from server.
8:15:13 | Player "P@lko2265" (steamId=76561198039629108) disconnected from server.
8:15:15 | Player "P@lko2265" (steamId=76561198039629108) disconnected from server.
8:15:34 | Player "StaryKojot" (steamId=76561198080276111) disconnected from server.
8:15:34 | Player "StaryKojot" (steamId=76561198080276111) disconnected from server.
8:15:36 | Player "StaryKojot" (steamId=76561198080276111) disconnected from server.
8:16:5 | Player "StaryKojot" (steamId=76561198080276111) connected to server!
8:16:20 | Player "StaryKojot" (steamId=76561198080276111) connected to server!
8:27:59 | Player "martyCZ" (steamId=76561198873247465) connected to server!
8:28:23 | Player "martyCZ" (steamId=76561198873247465) connected to server!
8:44:50 | Player "StaryKojot" (steamId=76561198080276111) disconnected from server.
8:44:50 | Player "StaryKojot" (steamId=76561198080276111) disconnected from server.
8:44:54 | Player "StaryKojot" (steamId=76561198080276111) disconnected from server.
8:47:37 | Player "martyCZ" (steamId=76561198873247465) disconnected from server.
8:47:37 | Player "martyCZ" (steamId=76561198873247465) disconnected from server.
8:47:39 | Player "martyCZ" (steamId=76561198873247465) disconnected from server.
9:8:13 | Player "StaryKojot" (steamId=76561198080276111) connected to server!
9:8:29 | Player "StaryKojot" (steamId=76561198080276111) connected to server!
9:39:34 | Player "martyCZ" (steamId=76561198873247465) connected to server!
9:47:10 | Player "martyCZ" (steamId=76561198873247465) connected to server!
10:0:27 | Player "martyCZ" (steamId=76561198873247465) disconnected from server.
10:0:27 | Player "StaryKojot" (steamId=76561198080276111) disconnected from server.
