=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2022-8-19_14-2-35
====================================================================================
14:2:35 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
14:2:35 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
14:2:35 | [PermissionManager] Perm (FreeCamera) has been registered!
14:2:35 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
14:2:35 | [PermissionManager] Perm (MenuItemManager) has been registered!
14:2:35 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
14:2:35 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
14:2:35 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
14:2:35 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
14:2:35 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
14:2:35 | [PermissionManager] Perm (MenuServerManager) has been registered!
14:2:35 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
14:2:35 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
14:2:35 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
14:2:35 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
14:2:35 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
14:2:35 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
14:2:35 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
14:2:35 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
14:2:35 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
14:2:35 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
14:2:35 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
14:2:35 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
14:2:35 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
14:2:35 | [PermissionManager] Perm (MenuObjectManager) has been registered!
14:2:35 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
14:2:35 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
14:2:35 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
14:2:35 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
14:2:35 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
14:2:35 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
14:2:35 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
14:2:35 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
14:2:35 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
14:2:35 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
14:2:35 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
14:2:35 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
14:2:35 | [PermissionManager] Perm (MenuBansManager) has been registered!
14:2:35 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
14:2:35 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
14:2:35 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
14:2:35 | [PermissionManager] Perm (MenuWebHooks) has been registered!
14:2:35 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
14:2:35 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
14:2:35 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
14:2:35 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
14:2:35 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
14:2:35 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
14:2:35 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
14:2:35 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
14:2:35 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
14:2:35 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
14:2:35 | [PermissionManager] Perm (EspToolsMenu) has been registered!
14:2:35 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
14:2:35 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
14:2:35 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
14:2:35 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
14:2:35 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
14:2:35 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
14:2:35 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
14:2:35 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
14:2:35 | [PermissionManager] Adding Super Admin (76561198016672415)
14:2:35 | [PermissionManager] Loaded UserGroups.json
14:2:35 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
14:2:35 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
14:2:35 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
14:2:35 | Building Sets Loaded: 0
14:2:35 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
14:2:35 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
14:2:35 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
14:2:35 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
14:2:35 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
14:2:35 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
14:2:35 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
14:2:35 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
14:2:35 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
14:2:35 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
14:2:35 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
14:2:35 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
14:2:35 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
14:2:35 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
14:2:35 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
14:2:35 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
14:14:28 | Player "HrabefonVorezprut" (steamId=76561198065958810) connected to server!
14:14:54 | Player "HrabefonVorezprut" (steamId=76561198065958810) connected to server!
14:32:37 | Player "[R.E.D] The Old Man" (steamId=76561198162835454) connected to server!
14:32:56 | Player "[R.E.D] The Old Man" (steamId=76561198162835454) connected to server!
14:34:32 | Player "HrabefonVorezprut" (steamId=76561198065958810) disconnected from server.
14:34:32 | Player "HrabefonVorezprut" (steamId=76561198065958810) disconnected from server.
14:34:33 | Player "HrabefonVorezprut" (steamId=76561198065958810) disconnected from server.
14:45:50 | Player "Bflame" (steamId=76561198072840834) connected to server!
14:46:10 | Player "Bflame" (steamId=76561198072840834) connected to server!
15:3:42 | Player "Bflame" (steamId=76561198072840834) disconnected from server.
15:3:42 | Player "Bflame" (steamId=76561198072840834) disconnected from server.
15:3:44 | Player "Bflame" (steamId=76561198072840834) disconnected from server.
15:9:35 | Player "Heroquest" (steamId=76561198130890342) connected to server!
15:9:53 | Player "Heroquest" (steamId=76561198130890342) connected to server!
15:10:51 | Player "MADness" (steamId=76561198968762750) connected to server!
15:11:13 | Player "MADness" (steamId=76561198968762750) connected to server!
15:11:16 | "MADness" (steamid=76561198968762750) toggled godmode
15:13:36 | "MADness": (steamid=76561198968762750) teleported to (pos=NPC_8_Irena)
15:15:57 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<7160.019531, 74.688683, 8099.744629>)
15:16:0 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<7158.986328, 72.271782, 8093.184082>)
15:16:0 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<7158.139160, 72.901031, 8087.185547>)
15:16:0 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<7158.129883, 72.913635, 8087.076660>)
15:16:0 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<7158.118652, 72.927658, 8086.954590>)
15:16:0 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<7158.107910, 72.939346, 8086.853027>)
15:16:0 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<7158.096680, 72.951035, 8086.752441>)
15:16:0 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<7158.084961, 72.962128, 8086.656738>)
15:16:0 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<7158.071777, 72.973007, 8086.562500>)
15:16:0 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<7158.051758, 72.981674, 8086.482910>)
15:16:0 | "MADness" (steamid=76561198968762750) teleported to crosshair (pos=<7157.987305, 73.026741, 8086.087891>)
